"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_DEMONIC_FIRE_DESC","Leave behind a trail of fire that damages enemies.","اترك خلفك أثرًا من النار يلحق الضرر بالأعداء.","在所经之处留下一道烈焰，可对敌人造成伤害。","在所經之處留下一道烈焰，可對敵人造成傷害。","Hinterlasse eine Flammenspur, die Feinden schadet.","Dejas un rastro de fuego que inflige daño a los enemigos.","Jätät jälkeesi tulivanan, joka vahingoittaa vastustajia.","Laisse une traînée de feu qui blesse les ennemis.","השאירו מאחור שובל של אש שתפגע באויבים.","Meninggalkan jejak api yang memberikan kerusakan pada lawan.","Lasci dietro di te una scia di fuoco che danneggia i nemici.","移動時に炎の軌跡を残して敵にダメージを与える。","불길을 남겨 적에게 피해를 줍니다.","Tinggalkan jejak api yang merosakkan musuh.","Laat een pad van vuur achter dat schade toebrengt aan vijanden.","Zostawiasz za sobą ognisty ślad, który zadaje obrażenia wrogom.","Deixa um rastro de fogo que causa dano aos inimigos.","Боец оставляет огненный след, который наносит урон врагам.","ทิ้งเปลวเพลิงไว้ตามทางที่จะสร้างความเสียหายให้กับศัตรู","Arkasında, düşmanlara hasar veren ateşten bir iz bırakır.","Đốt cháy mặt đất phía sau và đám lửa này sẽ gây sát thương lên đối thủ."
"TID_ANGELIC_FRIENDS_DESC","Spawn a healing Angelic Ally when a teammate is defeated. This ally is stronger if the teammate was an Angel.","قم باستدعاء حليف ملائكي معالج عند هزيمة أحد زملائك في الفريق. يكون هذا الحليف أقوى إذا كان زميلك في الفريق ملاكًا.","队友被击倒后，召唤一个能提供治疗的天使伙伴。如果被击倒的队友是天使，那么召唤出来的伙伴会更强大。","隊友被擊殺後，召喚一個能治療隊友的天使夥伴。如果被擊殺的隊友是天使，那麼召喚出來的夥伴會更強大。","Beschwöre einen heilenden Engel als Verbündeten, wenn ein Teamkamerad besiegt wird. War dieser ein Engel, ist der neue Verbündete stärker.","Invoca un compañero angelical curativo cuando derrotan a alguno de tus aliados. El compañero es más fuerte si el aliado era un ángel.","Kun joukkuekaverisi tyrmätään, kutsut parantavan enkeliliittolaisen, joka on voimakkaampi, jos tyrmätty joukkuekaverisi oli enkeli.","Invoque un soigneur angélique quand un équipier est éliminé. Cet allié est plus fort si l'allié était un ange.","כדאי לייצר בעל ברית מרפא מלאכי כשחבר קבוצה מובס. בעל הברית חזק יותר אם אותו חבר צוות היה מלאך.","Memunculkan Penjaga Kudus penyembuh saat ada rekan tim tumbang. Penjaga Kudus akan jadi lebih kuat jika rekan tim yang tumbang adalah Malaikat.","Quando un compagno di squadra viene eliminato, evochi un alleato angelico che cura. Se quel compagno era un angelo, la creatura evocata è più forte.","チームメイトが倒されると、回復役の熾天使を味方として召喚する。倒された味方が天使サイドの場合、熾天使が強化される。","팀원이 처치되면 치유의 천사 아군을 생성합니다. 처치된 팀원이 천사일 경우, 생성된 아군이 더 강해집니다.","Mewujudkan sekutu malaikat penyembuh apabila rakan sepasukan dikalahkan. Sekutu ini lebih berkuasa jika rakan sepasukan ialah Malaikat.","Roep een helende engelbondgenoot op als een teamgenoot wordt uitgeschakeld. Deze bondgenoot is sterker als de teamgenoot een engel was.","Przywołujesz anielskiego sojusznika-uzdrowiciela, gdy członek Twojej drużyny zostaje pokonany. Sojusznik jest silniejszy, jeśli pokonany członek drużyny był aniołem.","Gere um aliado angelical curativo quando um colega de equipe for derrotado. O aliado gerado é mais forte se o colega tiver sido um anjo.","Когда товарища по команде побеждают, на твоей стороне появляется ангел-целитель. Этот ангел будет сильнее, если побеждённый боец был ангелом.","เรียกเทวาเยียวยาพันธมิตรมาหนึ่งตนเมื่อเพื่อนร่วมทีมพ่ายแพ้ เทวาตนนี้จะแข็งแกร่งขึ้นหากเพื่อนร่วมทีมคนนั้นเป็นเทวา","Bir takım arkadaşın yok edildiğinde iyileştiren bir melek kurtarıcı çağırır. Yok edilen takım arkadaşın bir melekse bu kurtarıcı daha da güçlü olur.","Tạo ra một Đồng minh Thiên thần có khả năng hồi máu khi có một đồng đội bị hạ gục. Thiên thần này sẽ mạnh hơn nếu đồng đội ngã xuống cũng là một Thiên thần."
"TID_ANGEL_DARK_LARRY_&_LAWRIE_SKIN","DARK ANGEL LARRY & LAWRIE","لاري ولوري ملائكيا الظلام","暗影天使拉里和劳里","暗影天使賴瑞和羅瑞","DUNKLE ENGEL LARRY & LAWRIE","LARRY Y LAWRIE ÁNGELES CAÍDOS","SYNKKÄ ENKELI- LARRY & LAWRIE","LARRY & LAWRIE ANGES OBSCURS","לארי ולורי המלאכים האפלים","LARRY & LAWRIE MALAIKAT KEGELAPAN","LARRY E LAWRIE ANGELI OSCURI","ダークエンジェル ラリー＆ローリー","다크 엔젤 래리 & 로리","LARRY & LAWRIE MALAIKAT JAHAT","DUISTERE ENGEL-LARRY & LAWRIE","MROCZNE ANIOŁY LARRY I LAWRIE","LARRY E LAWRIE ANJOS SOMBRIOS","ТЁМНЫЕ АНГЕЛЫ ЛАРРИ И ЛОРИ","เทวามืดแลร์รี & ลอว์รี","KARA MELEK LARRY İLE LAWRIE","LARRY & LAWRIE THIÊN THẦN HẮC ÁM"
"TID_ANGEL_DARK_LARRY_&_LAWRIE_SKIN_SHOP","DARK ANGEL\nLARRY & LAWRIE","لاري ولوري\nملائكيا الظلام","暗影天使\n拉里和劳里","暗影天使\n賴瑞和羅瑞","DUNKLE ENGEL\nLARRY & LAWRIE","LARRY Y LAWRIE\nÁNGELES CAÍDOS","SYNKKÄ ENKELI-\nLARRY & LAWRIE","LARRY & LAWRIE\nANGES OBSCURS","לארי ולורי\nהמלאכים האפלים","LARRY & LAWRIE\nMALAIKAT KEGELAPAN","LARRY E LAWRIE\nANGELI OSCURI","ダークエンジェル\nラリー＆ローリー","다크 엔젤\n래리 & 로리","LARRY & LAWRIE\nMALAIKAT JAHAT","DUISTERE ENGEL-\nLARRY & LAWRIE","MROCZNE ANIOŁY\nLARRY I LAWRIE","LARRY E LAWRIE\nANJOS SOMBRIOS","ТЁМНЫЕ АНГЕЛЫ\nЛАРРИ И ЛОРИ","เทวามืด\nแลร์รี & ลอว์รี","KARA MELEK\nLARRY İLE LAWRIE","LARRY & LAWRIE\nTHIÊN THẦN HẮC ÁM"
"TID_LIGHT_ANGEL_COLT_SKIN","LIGHT ANGEL COLT","كولت ملاك الضوء","光明天使柯尔特","靛藍天使柯爾特","LICHTENGEL COLT","COLT ÁNGEL RADIANTE","VALON ENKELI -COLT","COLT ANGE DE LUMIÈRE","קולט מלאך האור","COLT MALAIKAT TERANG","COLT ANGELO LUCENTE","ライトエンジェル コルト","라이트 엔젤 콜트","COLT MALAIKAT CERAH","LICHTENGEL-COLT","ŚWIETLISTY ANIOŁ COLT","COLT ANJO RADIANTE","АНГЕЛ СВЕТА КОЛЬТ","โคลท์ เทพบุตรแห่งแสง","IŞIK MELEĞİ COLT","COLT THIÊN THẦN ÁNH SÁNG"
"TID_LIGHT_ANGEL_COLT_SKIN_SHOP","LIGHT ANGEL\nCOLT","كولت\nملاك الضوء","光明天使\n柯尔特","靛藍天使\n柯爾特","LICHTENGEL\nCOLT","COLT\nÁNGEL RADIANTE","VALON ENKELI\n-COLT","COLT\nANGE DE LUMIÈRE","קולט\nמלאך אור","COLT\nMALAIKAT TERANG","COLT\nANGELO LUCENTE","ライトエンジェル\nコルト","라이트 엔젤 콜트","COLT\nMALAIKAT CERAH","LICHTENGEL-\nCOLT","ŚWIETLISTY ANIOŁ\nCOLT","COLT\nANJO RADIANTE","АНГЕЛ СВЕТА\nКОЛЬТ","โคลท์\nเทพบุตรแห่งแสง","IŞIK MELEĞİ\nCOLT","COLT\nTHIÊN THẦN ÁNH SÁNG"
"TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC","Crow deals <c00cc00>+<VALUE1>%</c> damage with his attack and Super to targets with <VALUE2>% or less health.","يلحق هجوم كرو وزخمه <c00cc00>+<VALUE1>%</c> من الضرر بالأهداف التي تملك <VALUE2>% أو أقل من الصحة.","黑鸦的普通攻击和超级技能对生命值不高于<VALUE2>%的目标伤害<c00cc00>+<VALUE1>%</c>。","鴉的普通攻擊和超級技能對生命值在<VALUE2>%以下的英雄可造成<c00cc00>額外<VALUE1>%</c>傷害。","Crow verursacht mit seinem Angriff und seinem Superskill <c00cc00>+<VALUE1> %</c> Schaden bei Zielen, deren Trefferpunkte bei <VALUE2> % oder darunter liegen.","Crow inflige un <c00cc00><VALUE1> %</c> más de daño con su ataque y su súper a los objetivos que tengan menos del <VALUE2> % de salud.","Crow'n perus- ja superhyökkäys tekevät <c00cc00><VALUE1> %</c> enemmän tuhoa kohteisiin, joilla on <VALUE2> % tai vähemmän elinvoimaa.","Lorsqu'il attaque ou utilise son super, Corbac inflige <c00cc00>+<VALUE1> %</c> de points de dégâts aux cibles ayant <VALUE2> % de santé ou moins.","קרואו גורם <c00cc00>+<VALUE1></c> נזק באמצעות המתקפה ותכונת הסופר שלו למטרות בעלות %<VALUE2> בריאות או פחות.","Serangan normal dan Kekuatan Super Crow memberikan <c00cc00>+<VALUE1>%</c> kerusakan pada target dengan kesehatan <VALUE2>% atau kurang.","Corvo infligge il <c00cc00><VALUE1>%</c> di punti danno in più sia con l'attacco base che con la super ai brawler con salute pari o inferiore al <VALUE2>%.","HPが<VALUE2>％以下の敵に対して、クロウの通常攻撃と必殺技で<c00cc00>+<VALUE1>％</c>の追加ダメージが発生する。","HP가 <VALUE2>% 이하인 대상에게 일반 및 특수 공격으로 <c00cc00>+<VALUE1>%</c> 추가 피해를 줍니다.","Crow melakukan <c00cc00>+<VALUE1>%</c> kerosakan dengan serangan dan Supernya terhadap sasaran dengan nilai nyawa <VALUE2>% atau lebih rendah.","Crow brengt met zijn aanval en super <c00cc00>+<VALUE1>%</c> schade toe aan doelwitten met maximaal <VALUE2>% van hun gezondheid.","Kruk zadaje <c00cc00>+<VALUE1>%</c> pkt. obrażeń, używając swojego ataku i superataku wobec celów mających <VALUE2>% lub mniej pkt. życia.","O ataque regular e o Super do Corvo infligem <c00cc00><VALUE1>%</c> a mais de dano a alvos com <VALUE2>% ou menos de saúde.","Атака и Супер Ворона наносят <c00cc00><VALUE1> %</c> дополнительного урона целям, уровень здоровья которых не превышает <VALUE2> %.","โครวสร้างความเสียหาย <c00cc00>+<VALUE1>%</c> ด้วยการโจมตีและท่าไม้ตายของเขาเมื่อเป้าหมายมีพลังชีวิต <VALUE2>% หรือน้อยกว่า","Crow'un normal ve süper saldırısı sağlığı %<VALUE2> ve altı düşmanlara <c00cc00>%<VALUE1></c> fazla hasar verir.","Quạ gây ra thêm <c00cc00><VALUE1>%</c> sát thương khi sử dụng đòn tấn công và Tuyệt chiêu lên những mục tiêu có từ <VALUE2>% máu trở xuống."
"TID_BIZARRE_MAISIE_SKIN","AMAZING MAISIE","مايسي المدهشة","神奇旅程麦茜","奇幻探險家","FANTASTISCHE MAISIE","MAISIE MAGNÍFICA","MIELETÖN MAISIE","MAISIE MANGA","מייזי המדהימה","MAISIE BOMBASTIS","MAISIE STRAVAGANTE","アルカナXVII メイジー","어메이징 메이지","MAISIE LUAR BIASA","GEWELDIGE MAISIE","NIESAMOWITA MAISIE","MAISIE MAROTA","НЕВЕРОЯТНАЯ МЭЙСИ","เมซี่ สาวอเมซิ่ง","MUHTEŞEM MAISIE","MAISIE SIÊU PHÀM"
"TID_BIZARRE_MAISIE_SKIN_SHOP","AMAZING\nMAISIE","مايسي\nالمدهشة","神奇旅程麦茜","奇幻探險家","FANTASTISCHE\nMAISIE","MAISIE\nMAGNÍFICA","MIELETÖN\nMAISIE","MAISIE\nMANGA","מייזי\nהמדהימה","MAISIE\nBOMBASTIS","MAISIE\nSTRAVAGANTE","アルカナXVII\nメイジー","어메이징 메이지","MAISIE\nLUAR BIASA","GEWELDIGE\nMAISIE","NIESAMOWITA\nMAISIE","MAISIE\nMAROTA","НЕВЕРОЯТНАЯ\nМЭЙСИ","เมซี่\nสาวอเมซิ่ง","MUHTEŞEM\nMAISIE","MAISIE\nSIÊU PHÀM"
