"Name","Disabled","Speed","PreExplosionTimeMs","Radius","IgnoreCloseWalls","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","OnAllyHitActions","OnEnemyHitActions","AreaEffect2DamagePercent","SpawnCharacter","AreaEffectTrailMinDistance","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","MaxDistanceBounces","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","PushbackType","OverridePushbackSpeed","MaxZDuringPushback","ChainsToEnemies","ChainBullets","ChainBulletsMax","ChainSpread","ChainTravelDistance","ExecuteChainSpecialCase","DamagePercentStart","DamagePercentEnd","DamageChangeStartPromille","DamageChangeEndPromille","IgnoreDamageChangeForUltiCharge","DamagesConstantlyTickDelay","FreezeStrength","FreezeDurationMS","StunLengthMS","PartialStunPromille","SilenceDurationMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","SuppressHealing","SuppressHealingTicks","ConsumableShield","ConsumableShieldTicks","DamageOnlyWithOneProj","HealOwnPercent","GrapplesEnemy","KickBack","MinDistanceForSpread","IsFriendlyHomingMissile","BoomerangType","CanHitAgainAfterBounce","IsHomingMissile","UltiChargeChangePercent","TravelType","TravelTypeVariable","TravelTypeVariable2","IgnoreLevelBorder","SteerStrength","SteerIgnoreTicks","HomeDistance","SteerLifeTime","DoNotForceShow","UniqueProperty","CustomUniquePropertyValue","Zoffset"
"string","boolean","int","int","int","boolean","boolean","boolean","int","int","int","int","string","string","int","string","int","boolean","boolean","boolean","int","int","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","int","boolean","int","boolean","int","int","int","int","boolean","int","boolean","int","int","boolean","int","boolean","boolean","int","int","int","int","boolean","int","int","int","int","boolean","int","int","int"
"ShotgunGirlProjectile","","3100","","0","","","","","","0","2","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlUltiProjectile","","4130","","50","","","","","","0","2","","","","","","true","","","","","true","true","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlOverchargedUltiProjectile","","4130","","50","","","","","","0","2","","","","","","true","","","","","true","true","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerProjectile","","4000","","50","","","","","","0","2","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerUltiProjectile","","4891","","101","","","","","","0","2","","","","","","true","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerOverchargedUltiProjectile","","4891","","101","","","","","","0","2","","","","","","true","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeProjectile","","2853","","0","","","","","","0","2","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlProjectile","","2700","","101","","","","","","0","2","","","30","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlUltiProjectile","","870","","0","","true","true","","","93","2","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeProjectile","","3478","","101","","","","","","0","3","","","","","","true","","true","500","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeUltiProjectile","","4891","","101","","","","","","0","3","","","","","","true","","true","500","6","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeUltiOverchargedProjectile","","4891","","101","","","","","","0","3","","","","","","true","","true","1800","8","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusProjectile","","2174","","150","","","","","","0","2","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusUltiProjectile","","1739","","0","","true","","","","240","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusOverchargedUltiProjectile","","1739","","0","","true","","","","240","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusSpike","","3261","","50","","","","","","0","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicProjectile1","","2870","","150","","","","","","0","2","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicProjectile2","","1522","","150","","","","","","0","1","","","","","","true","","","","","","","","","","","","1","","","","20","","75","75","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicProjectile3","","1522","","150","","","","","","0","1","","","","","","true","","","","","","","","","","","","","","","","","","75","75","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicUltiProjectile","","1196","","0","","true","","","","170","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicOverchargedUltiProjectile","","1196","","0","","true","","","","170","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanProjectile","","2718","","250","","","","","","0","1","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanUltiProjectile","","1196","","0","","true","","","","170","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanOverChargedUltiProjectile","","1196","","0","","true","","","","170","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepProjectile","","1750","","0","","true","","","","240","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepUltiProjectile","","1504","","0","","true","","","","170","1","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100","","","","","","","","","","","","","","","","",""
