"Name","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnChargeEnd","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","PulsatingActiveTicksOn","PulsatingActiveTicksOff","Damage","DamageHealSource","UltiChargePercent","UltiChargeBoostPercent","AmmoReducePercent","Healing","ShieldPercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","ShowDamageAsCrit","DamageReducePercent","DamageBoostTargetCurrentHealthPercent","DamageReceivedBoostPercent","DamageReceivedBoostAbsolute","DecreaseReloadTimePercent","SourceLifeSteal","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","ForceShow","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","SpawnAreaEffectOnDeath","PersistTransformation","BooleanAttributes","HapticsToSource","TimerBar","Traits","Components","ActivateOnRefreshCount"
"string","int","int","boolean","boolean","boolean","boolean","boolean","int","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","boolean","boolean","boolean","boolean","string","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","string","string","boolean","string","boolean","boolean","string","string","int"
"WhirlwindTrailFire","80","","","","","","","20","","","TRUE","","","300","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","",""
"WhirlwindUltiTrailFire","80","","","","","","","20","","","TRUE","","","370","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","",""
"PetrolFire","80","","","","","","","20","","","TRUE","","","480","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"PetrolFireOvercharged","80","","","","","","","20","","","TRUE","","","500","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"RollerFire","80","","","","","","","20","","","TRUE","","","200","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"PuppeteerPoison","40","","","","","","","20","TRUE","TRUE","","","","400","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","TRUE","","","",""
"SharpenedAmmoBleed","60","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"CollabAssassinBleed","120","","","","","","","20","","","","","","65","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","",""
"JesterUltiPoison","120","","","","","","","20","TRUE","","TRUE","","","290","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
